date,BTC_drawdown_pct,ETH_drawdown_pct,GOLD_drawdown_pct,ETF_drawdown_pct,EM_drawdown_pct,BOND_drawdown_pct
2024-01-09,-31.71,-51.27,-3.07,-1.66,-27.91,-39.11
2024-01-10,-30.99,-46.34,-3.3,-1.2,-28.07,-39.4
2024-01-11,-31.37,-45.56,-3.1,-1.25,-27.78,-39.06
2024-01-12,-36.58,-47.54,-2.16,-1.04,-27.52,-39.18
2024-01-16,-36.13,-46.23,-3.08,-1.91,-29.27,-40.25
2024-01-17,-36.74,-47.46,-4.15,-2.66,-30.33,-40.34
2024-01-18,-38.93,-48.73,-3.36,-1.81,-29.75,-40.9
2024-01-19,-38.4,-48.27,-3.07,-0.83,-29.02,-40.71
2024-01-22,-41.53,-51.98,-3.44,-0.67,-29.64,-40.36
2024-01-23,-41.03,-53.44,-3.06,-0.47,-29.03,-40.83
2024-01-24,-40.69,-53.58,-3.86,-0.14,-28.24,-41.18
2024-01-25,-40.9,-53.91,-3.48,0.0,-28.15,-40.79
2024-01-26,-38.11,-52.89,-3.55,0.0,-28.09,-40.9
2024-01-29,-35.93,-51.85,-2.87,0.0,-28.05,-40.22
2024-01-30,-36.43,-51.28,-2.73,-0.16,-28.63,-39.68
2024-01-31,-36.98,-52.57,-2.81,-1.46,-29.02,-39.09
2024-02-01,-36.25,-52.12,-1.79,-0.23,-28.33,-37.89
2024-02-02,-36.08,-52.04,-2.72,0.0,-28.53,-39.27
2024-02-05,-36.86,-52.23,-3.26,-0.39,-28.44,-40.49
2024-02-06,-36.23,-50.7,-2.75,0.0,-26.81,-39.91
2024-02-07,-34.41,-49.63,-2.78,0.0,-26.72,-40.2
2024-02-08,-32.95,-49.71,-2.87,-0.02,-27.13,-40.55
2024-02-09,-30.22,-48.31,-3.24,0.0,-26.81,-40.67
2024-02-12,-26.06,-44.76,-3.5,0.0,-26.24,-40.6
2024-02-13,-26.38,-45.09,-4.83,-1.59,-27.63,-41.62
2024-02-14,-23.3,-42.27,-4.88,-0.5,-26.59,-41.32
2024-02-15,-23.13,-41.31,-4.24,0.0,-26.24,-41.02
2024-02-16,-22.8,-41.74,-3.89,-0.25,-25.89,-41.36
2024-02-20,-22.62,-37.38,-3.31,-0.53,-25.78,-41.31
2024-02-21,-23.28,-38.27,-3.31,-0.5,-25.65,-41.73
2024-02-22,-24.07,-38.26,-3.26,0.0,-24.89,-41.44
2024-02-23,-24.92,-39.29,-2.72,0.0,-24.93,-40.66
2024-02-26,-19.31,-33.94,-2.93,-0.27,-25.26,-40.83
2024-02-27,-15.51,-32.58,-3.04,-0.07,-25.11,-41.25
2024-02-28,-7.49,-29.64,-2.86,-0.5,-26.09,-40.88
2024-02-29,-9.43,-30.55,-2.36,-0.11,-26.06,-40.46
2024-03-01,-7.59,-28.62,-0.52,0.0,-25.15,-40.09
2024-03-04,0.0,-24.56,0.0,-0.15,-25.32,-40.33
2024-03-05,-6.63,-26.12,0.0,-0.96,-25.98,-39.48
2024-03-06,-3.25,-20.63,0.0,-0.19,-24.91,-39.13
2024-03-07,-2.06,-19.49,0.0,0.0,-24.45,-39.18
2024-03-08,-0.04,-19.12,0.0,-0.49,-24.52,-39.29
2024-03-11,0.0,-15.5,0.0,-0.69,-24.36,-39.32
2024-03-12,-0.89,-17.29,-1.09,0.0,-23.52,-39.83
2024-03-13,0.0,-16.74,-0.4,-0.13,-23.76,-40.12
2024-03-14,-2.31,-19.3,-0.82,-0.52,-24.15,-41.04
2024-03-15,-5.03,-22.38,-1.13,-1.03,-24.61,-41.06
2024-03-18,-7.57,-26.89,-0.98,-0.62,-24.49,-41.24
