date,BTC_vol_30d,ETH_vol_30d,GOLD_vol_30d,ETF_vol_30d,EM_vol_30d,BOND_vol_30d
2019-05-21,80.02,80.62,7.81,12.24,17.26,7.34
2019-05-22,80.87,81.49,7.62,12.21,17.27,7.46
2019-05-23,80.91,81.51,7.93,12.49,17.34,8.05
2019-05-24,78.66,77.99,7.06,12.62,17.25,7.79
2019-05-28,81.53,80.66,7.13,12.58,17.08,7.56
2019-05-29,81.6,80.29,7.12,12.64,17.31,7.56
2019-05-30,83.21,82.49,6.89,12.73,17.21,7.43
2019-05-31,83.2,82.79,7.84,12.94,17.23,7.99
2019-06-03,84.99,85.24,8.77,12.97,17.57,8.04
2019-06-04,87.86,86.63,8.77,13.98,17.58,8.76
2019-06-05,87.69,86.56,8.71,13.91,17.6,9.07
2019-06-06,87.25,85.45,8.72,13.98,17.32,8.9
2019-06-07,85.47,81.77,8.8,14.37,17.56,9.04
2019-06-10,85.69,82.25,9.28,14.38,17.85,9.65
2019-06-11,85.76,82.25,9.16,14.39,18.22,9.34
2019-06-12,85.82,82.88,9.22,14.46,18.42,9.3
2019-06-13,85.82,83.19,9.01,14.39,18.33,9.29
2019-06-14,86.63,83.25,8.88,14.43,18.5,9.07
2019-06-17,87.67,83.31,8.82,14.06,18.12,9.07
2019-06-18,88.35,84.57,8.87,14.41,18.81,9.1
2019-06-19,88.36,84.01,8.95,13.52,18.11,8.96
2019-06-20,88.37,84.0,11.13,13.87,18.58,8.75
2019-06-21,89.36,86.04,11.18,13.8,17.96,9.54
2019-06-24,91.38,86.56,11.7,13.72,17.91,9.63
2019-06-25,69.61,79.31,11.52,11.65,15.11,9.48
2019-06-26,74.25,76.11,11.98,11.41,14.84,9.68
2019-06-27,87.19,77.73,11.99,11.4,14.92,9.72
2019-06-28,90.23,77.06,11.62,11.28,14.82,9.63
2019-07-01,99.1,75.37,13.01,11.15,13.85,9.71
2019-07-02,96.75,75.07,14.06,10.92,13.79,9.78
2019-07-03,100.49,75.67,13.97,10.79,13.52,9.83
2019-07-05,103.42,76.18,14.55,10.82,13.63,10.76
2019-07-08,107.78,79.72,14.74,10.32,13.11,10.38
2019-07-09,107.79,79.99,14.74,10.29,13.2,10.39
2019-07-10,106.38,78.63,15.06,9.86,13.31,10.42
2019-07-11,108.69,81.68,15.43,9.58,13.32,11.19
2019-07-12,107.91,80.53,15.42,9.56,13.29,10.92
2019-07-15,111.01,93.57,15.13,8.87,13.29,10.42
2019-07-16,117.35,99.72,15.04,9.06,13.16,10.26
2019-07-17,115.6,100.89,15.61,8.28,13.23,10.2
2019-07-18,118.51,102.88,15.97,8.31,12.97,10.04
2019-07-19,118.69,103.03,16.76,8.52,13.13,10.04
2019-07-22,118.91,103.09,16.74,8.08,13.02,9.74
2019-07-23,119.85,103.2,16.52,8.13,12.75,9.47
2019-07-24,119.85,103.41,16.51,8.13,12.39,9.54
2019-07-25,119.74,101.75,16.71,8.28,12.25,9.66
2019-07-26,119.8,101.66,16.66,8.32,12.23,9.63
2019-07-29,119.6,101.62,16.71,8.18,11.7,9.61
2019-07-30,117.95,100.76,16.69,8.37,11.98,9.62
2019-07-31,118.35,101.25,17.24,8.12,10.44,9.79
2019-08-01,118.49,101.06,18.39,8.44,11.56,11.33
2019-08-02,118.34,101.0,17.12,8.12,10.82,11.58
2019-08-05,121.95,100.22,17.45,11.66,14.86,11.92
2019-08-06,120.1,99.01,17.11,12.24,15.68,11.94
2019-08-07,118.95,98.56,17.58,12.13,15.63,11.94
2019-08-08,115.05,96.5,17.3,12.93,15.83,11.68
2019-08-09,107.12,90.94,17.35,13.0,15.77,11.65
2019-08-12,103.04,88.81,17.49,13.27,16.01,12.84
2019-08-13,94.24,87.77,16.44,13.8,16.08,12.88
2019-08-14,96.87,92.07,15.53,15.91,17.76,14.06
2019-08-15,91.72,91.0,15.58,15.76,18.01,14.21
2019-08-16,88.64,90.38,15.27,16.38,18.65,13.75
2019-08-19,82.73,91.12,15.62,16.59,18.72,14.67
2019-08-20,82.42,91.3,15.69,16.63,18.76,14.79
2019-08-21,83.5,90.82,15.26,16.76,18.81,14.86
2019-08-22,81.48,89.55,15.01,16.74,19.07,14.32
2019-08-23,80.97,89.21,15.8,17.63,19.38,14.79
2019-08-26,77.79,75.89,15.8,17.91,19.43,14.96
2019-08-27,67.69,65.54,15.56,17.91,19.48,15.2
2019-08-28,68.68,65.9,15.13,17.96,19.55,15.09
2019-08-29,62.24,61.92,14.98,18.25,19.8,15.22
2019-08-30,62.28,61.79,14.2,18.22,20.0,15.15
2019-09-03,69.63,65.08,14.57,18.24,20.02,15.16
2019-09-04,68.36,65.03,14.39,18.62,20.76,14.92
2019-09-05,68.28,64.58,16.38,18.9,21.08,16.24
2019-09-06,68.61,64.54,16.45,18.8,21.03,16.09
2019-09-09,68.59,67.95,16.54,18.74,21.04,17.25
2019-09-10,68.02,67.25,16.75,18.74,21.04,18.24
2019-09-11,68.0,67.25,16.79,18.83,21.06,18.28
2019-09-12,66.82,66.22,16.21,18.67,20.86,18.38
2019-09-13,66.26,66.24,15.06,18.49,20.04,18.74
2019-09-16,66.23,71.59,15.14,18.32,19.95,18.91
2019-09-17,55.14,70.17,14.66,15.89,16.36,18.3
2019-09-18,54.69,69.65,14.65,15.65,16.06,18.19
2019-09-19,53.2,71.03,14.02,15.64,16.12,18.21
2019-09-20,53.17,70.8,14.36,15.19,15.8,18.6
2019-09-23,54.39,72.76,14.39,15.04,15.43,18.58
2019-09-24,62.06,87.37,14.21,14.74,15.32,17.91
2019-09-25,61.25,87.59,15.14,14.19,14.96,18.4
2019-09-26,58.61,82.48,15.0,11.17,11.99,17.23
2019-09-27,58.22,83.69,14.92,11.36,12.66,16.9
2019-09-30,58.2,84.03,15.46,10.81,12.17,16.79
2019-10-01,55.61,79.14,15.21,11.19,12.37,16.3
2019-10-02,55.74,78.9,15.43,12.16,12.6,16.02
2019-10-03,53.72,78.1,15.47,12.16,12.84,16.13
2019-10-04,53.7,77.83,15.45,12.52,12.23,16.12
2019-10-07,52.86,77.98,14.49,10.86,11.61,15.61
2019-10-08,52.87,77.52,14.75,11.33,11.8,15.59
2019-10-09,54.83,79.53,14.45,11.54,11.96,14.97
2019-10-10,53.68,76.38,14.62,11.69,12.25,15.52
2019-10-11,53.91,77.4,14.57,11.89,12.66,15.85
2019-10-14,53.86,77.58,14.63,11.93,12.63,16.04
2019-10-15,42.54,76.15,14.06,12.07,12.63,16.33
2019-10-16,42.63,76.45,14.03,11.51,11.79,16.32
2019-10-17,42.83,76.43,12.31,11.13,11.43,15.56
2019-10-18,42.73,76.44,12.08,11.18,11.51,15.37
2019-10-21,44.42,74.03,12.1,11.36,11.75,14.69
2019-10-22,44.39,74.12,11.88,11.41,11.75,13.95
2019-10-23,47.75,75.95,11.77,11.24,11.6,13.95
2019-10-24,46.81,75.82,11.94,11.2,11.43,13.83
2019-10-25,67.19,83.65,11.69,11.22,11.49,12.36
2019-10-28,70.5,79.52,11.72,11.25,11.33,12.11
2019-10-29,70.77,78.59,11.73,11.26,11.46,12.0
2019-10-30,71.04,78.86,11.7,11.26,11.42,12.7
2019-10-31,70.99,77.42,12.0,11.3,11.62,13.26
2019-11-01,71.02,77.38,11.49,11.55,12.33,12.72
